Time,Longitude,Latitude,Elevation
2022-02-17T09:34:53Z,-1.536369,53.796796,35.0
2022-02-17T09:35:14Z,-1.536506,53.796819,35.1
2022-02-17T09:35:21Z,-1.536657,53.796798,35.2
2022-02-17T09:35:28Z,-1.536817,53.796783,35.3
2022-02-17T09:35:31Z,-1.536892,53.796711,35.4
2022-02-17T09:35:34Z,-1.536967,53.796623,35.5
2022-02-17T09:35:38Z,-1.537082,53.796578,35.5
2022-02-17T09:35:44Z,-1.537221,53.796550,35.6
2022-02-17T09:35:49Z,-1.537373,53.796554,35.7
2022-02-17T09:35:54Z,-1.537515,53.796574,35.8
2022-02-17T09:36:01Z,-1.537667,53.796571,35.9
2022-02-17T09:36:07Z,-1.537809,53.796556,36.0
2022-02-17T09:36:13Z,-1.537955,53.796530,36.0
2022-02-17T09:36:18Z,-1.538071,53.796465,36.4
2022-02-17T09:36:23Z,-1.538202,53.796439,36.7
2022-02-17T09:36:28Z,-1.538341,53.796422,37.1
2022-02-17T09:36:33Z,-1.538485,53.796403,37.5
2022-02-17T09:36:38Z,-1.538624,53.796409,37.8
2022-02-17T09:36:44Z,-1.538778,53.796399,38.2
2022-02-17T09:36:50Z,-1.538919,53.796400,38.8
2022-02-17T09:36:56Z,-1.539064,53.796406,39.5
2022-02-17T09:37:01Z,-1.539188,53.796448,40.1
2022-02-17T09:37:07Z,-1.539338,53.796484,40.7
2022-02-17T09:37:13Z,-1.539450,53.796553,41.4
2022-02-17T09:37:19Z,-1.539564,53.796609,41.6
2022-02-17T09:37:26Z,-1.539660,53.796674,41.9
2022-02-17T09:37:33Z,-1.539774,53.796734,42.3
2022-02-17T09:37:40Z,-1.539899,53.796786,42.6
2022-02-17T09:37:47Z,-1.540030,53.796837,43.0
2022-02-17T09:37:54Z,-1.540075,53.796924,43.4
2022-02-17T09:38:01Z,-1.540099,53.797014,43.5
2022-02-17T09:38:07Z,-1.540091,53.797097,43.5
2022-02-17T09:38:14Z,-1.540083,53.797185,43.6
2022-02-17T09:38:21Z,-1.540125,53.797272,43.7
2022-02-17T09:38:27Z,-1.540124,53.797361,43.8
2022-02-17T09:38:33Z,-1.540125,53.797448,43.9
2022-02-17T09:38:39Z,-1.540129,53.797532,44.0
2022-02-17T09:38:46Z,-1.540118,53.797619,44.3
2022-02-17T09:38:52Z,-1.540090,53.797702,44.5
2022-02-17T09:38:58Z,-1.540075,53.797791,44.8
2022-02-17T09:39:04Z,-1.540057,53.797875,45.1
2022-02-17T09:39:09Z,-1.540067,53.797958,45.4
2022-02-17T09:39:15Z,-1.540058,53.798044,45.6
2022-02-17T09:39:22Z,-1.540003,53.798134,45.9
2022-02-17T09:39:27Z,-1.539922,53.798206,46.2
2022-02-17T09:39:33Z,-1.539872,53.798298,46.5
2022-02-17T09:39:39Z,-1.539851,53.798385,46.7
2022-02-17T09:39:46Z,-1.539826,53.798477,46.8
2022-02-17T09:39:52Z,-1.539799,53.798559,46.6
